Stn Number,agency,Latitude,Longitude,Elevation,First Date,First Yea,Last Date,Last Year,Number of Years,Stn Name
145101d_66,66,-28.0543,153.0447,,14:45_07/12/1993,1993,00:00_30/09/2008,2008,16,ALBERT RIVER AT LUMEAH NO2
145102b_66,66,-27.9093,153.1065,,08:30_31/01/1992,1992,15:01_18/09/2008,2008,17,ALBERT RIVER AT BROMFLEET
146002b_66,66,-28,153.31,,09:30_20/06/1991,1991,11:20_16/09/2008,2008,18,NERANG RIVER AT GLENHURST
146014a_66,66,-28.1247,153.1888,,16:12_23/01/1996,1996,00:00_17/09/2008,2008,13,BACK CREEK AT BEECHMONT
201001_77,77,-28.3537,153.2931,42.4,14:20_15/02/1977,1977,12:00_21/01/2009,2009,33,OXLEY RIVER AT EUNGELLA
203005_77,77,-28.5049,152.9669,91.5,11:30_05/12/1991,1991,16:00_24/06/2009,2009,19,RICHMOND RIVER AT WIANGAREE
203010_77,77,-28.7365,153.164,41.1,11:50_31/10/1995,1995,11:00_25/09/2008,2008,14,LEYCESTER RIVER AT ROCK VALLEY
203030_77,77,-29.11,152.9994,59.8,17:15_28/03/1994,1994,10:40_20/05/2009,2009,16,MYRTLE CREEK AT RAPPVILLE
203900_77,77,-28.6206,152.9962,71.2,12:00_10/10/1994,1994,15:30_12/03/2008,2008,15,RICHMOND RIVER AT KYOGLE
204001_77,77,-29.9793,152.725,196.9,13:30_21/08/1991,1991,07:07_30/03/2009,2009,19,NYMBOIDA RIVER AT NYMBOIDA
204002_77,77,-28.8857,152.5658,139.8,15:30_05/11/1991,1991,14:45_19/05/2009,2009,19,CLARENCE RIVER AT TABULAM
204007_77,77,-29.5082,152.6832,28.2,12:00_02/06/1998,1998,14:01_12/03/2009,2009,12,CLARENCE RIVER AT LILYDALE (NEWBOLD CROSSING
204008_77,77,-30.4037,152.3469,1305.2,09:36_05/11/1997,1997,14:40_27/05/2009,2009,13,GUY FAWKES RIVER AT EBOR
204017_77,77,-30.3057,152.7146,653,11:05_24/07/1997,1997,11:45_03/07/2009,2009,13,BIELSDOWN CREEK AT DORRIGO NO.2 & NO.3
204030_77,77,-30.2587,152.0094,1150.1,15:28_21/01/1998,1998,13:00_15/05/2009,2009,12,ABERFOYLE RIVER AT ABERFOYLE
204033_77,77,-29.1934,152.2516,373.5,16:49_09/12/1997,1997,10:20_19/05/2009,2009,13,TIMBARRA RIVER AT BILLYRIMBA
204036_77,77,-28.9325,152.2182,624.2,09:30_17/12/1976,1976,15:50_18/05/2009,2009,34,CATARACT CREEK AT SANDY HILL(BELOW SNAKE CRE
204900_77,77,-29.1965,152.5931,99,16:15_05/10/1994,1994,10:35_10/12/2008,2008,15,CLARENCE RIVER AT BARYULGIL
205002_77,77,-30.4259,152.7809,45.7,19:00_18/02/1993,1993,14:00_25/06/2001,2001,9,BELLINGER RIVER AT THORA
205006_77,77,-30.6405,152.856,25.2,09:45_11/03/1993,1993,12:00_04/07/2006,2006,14,NAMBUCCA RIVER AT BOWRAVILLE
205014_77,77,-30.3863,152.8814,46,10:30_26/09/1996,1996,09:16_27/02/2007,2007,12,NEVER NEVER RIVER AT GLENIFFER BRIDGE
206011_77,77,-31.0082,152.7126,54,09:15_18/05/1994,1994,10:50_26/02/2009,2009,16,MACLEAY RIVER AT TURNERS FLAT
206026_77,77,-30.4177,151.6575,1024.1,15:00_19/05/1975,1975,09:55_13/10/2008,2008,34,SANDY CREEK AT NEWHOLME
206035_77,77,-30.2112,151.7261,1249.8,14:35_31/01/1997,1997,14:40_15/05/2009,2009,13,GARA RIVER AT WILLOW GLEN
206037_77,77,-30.4645,151.6156,1023.9,13:00_21/12/1998,1998,13:50_17/10/2008,2008,11,DUMARESQ CREEK D/S DUMARESQ DAM
207004_77,77,-31.4225,152.4708,67.4,13:15_01/11/1991,1991,11:38_16/10/2008,2008,18,HASTINGS RIVER AT ELLENBOROUGH (KINDEE BRIDG
208003_77,77,-31.8965,152.0967,65.5,09:15_30/10/1991,1991,00:00_01/07/2009,2009,19,GLOUCESTER RIVER AT DOON AYRE
208005_77,77,-31.7774,152.0757,85.9,15:30_30/10/1991,1991,00:00_02/07/2009,2009,19,NOWENDOC RIVER AT ROCKS CROSSING
208009_77,77,-31.5795,151.3154,594.8,09:15_18/03/1993,1993,00:00_23/01/2009,2009,17,BARNARD RIVER AT BARRY
208011_77,77,-31.7717,151.9001,120.6,16:45_15/04/1993,1993,00:00_01/07/2009,2009,17,BARNARD RIVER AT MACKAY
210010_77,77,-32.5586,151.8043,13.2,03:48_22/06/1998,1998,02:20_16/07/2009,2009,12,WILLIAMS RIVER AT GLEN MARTIN (MILL DAM FALL
210014_77,77,-32.1515,151.0486,209.9,15:45_23/01/1992,1992,08:52_03/06/2009,2009,18,ROUCHEL BROOK AT ROUCHEL BROOK (THE VALE)
210022_77,77,-32.3063,151.5129,119.2,13:55_09/08/1976,1976,00:00_14/05/2009,2009,34,ALLYN RIVER AT HALTON
210055_77,77,-32.3809,150.7114,111.3,13:13_12/02/1993,1993,00:00_23/06/2009,2009,17,HUNTER RIVER AT DENMAN
210061_77,77,-31.8099,150.9252,401.7,15:00_26/09/1985,1985,00:00_03/06/2009,2009,25,PAGES RIVER AT BLANDFORD (BICKHAM)
210076_77,77,-32.3366,150.9824,133.6,10:30_24/09/1976,1976,05:38_28/05/2009,2009,34,ANTIENE CREEK AT LIDDELL
210093_77,77,-31.9571,150.8568,268.5,11:30_14/11/1991,1991,00:00_03/06/2009,2009,19,KINGDON PONDS CREEK AT NEAR PARKVILLE
210124_77,77,-32.0113,150.7846,221.5,14:00_09/03/1994,1994,00:00_03/06/2009,2009,16,DART BROOK AT YARRANDI BRIDGE
212053_77,77,-34.1777,150.6124,170,10:00_04/12/1990,1990,12:15_22/12/2008,2008,19,STONEQUARRY CREEK AT PICTON
21210060_77,77,-34.6423,149.5663,4.1,14:40_11/05/1987,1987,14:20_12/07/2006,2006,20,Whiteheads Creek at Mummel Station G1
21210061_77,77,-34.6415,149.5625,4.1,14:40_11/05/1987,1987,14:20_12/07/2006,2006,20,Whiteheads Creek at Mummel Station G2
21210062_77,77,-34.642,149.5586,4.1,14:40_11/05/1987,1987,14:20_12/07/2006,2006,20,Whiteheads Creek at Mummel Station G3
21210063_77,77,-34.6438,149.5583,4.1,11:00_27/05/1987,1987,14:20_12/07/2006,2006,20,Whiteheads Creek at Mummel Station G4
21210064_77,77,-34.6848,149.5569,4,13:11_16/08/1988,1988,14:20_12/07/2006,2006,19,Whiteheads Creek at Mummel Station G5
21210065_77,77,-34.6595,149.5608,4.1,16:00_18/08/1988,1988,14:20_12/07/2006,2006,19,Whiteheads Creek at Mummel Station G6
212320_77,77,-33.876,150.7698,42,13:40_02/08/1978,1978,23:00_20/07/2008,2008,31,SOUTH CREEK AT MULGOA ROAD
213005_77,77,-33.7982,150.9825,15,12:15_19/04/1979,1979,12:00_29/03/2004,2004,26,TOONGABBIE CREEK AT BRIENS ROAD
213006_77,77,-34.074,150.8106,85,12:15_09/04/1981,1981,13:00_20/05/2009,2009,29,FISHERS GHOST CREEK AT BRADBURY PARK
215008_77,77,-35.7888,149.6406,1,15:00_20/01/1976,1976,02:45_26/04/2009,2009,34,SHOALHAVEN RIVER AT KADOONA
218008_77,77,-36.1289,150.0032,1.2,16:12_13/10/1998,1998,12:30_07/07/2009,2009,12,TUROSS RIVER AT EUROBODALLA
219025_77,77,-36.6185,149.8817,13.1,13:01_04/08/1999,1999,06:00_29/06/2009,2009,11,BROGO RIVER AT ANGLEDALE
219027_77,77,-36.4911,149.742,101.8,09:00_30/06/1970,1970,11:11_23/05/2009,2009,40,BROGO RIVER AT BROGO DAM (STORAGE)
219033_77,77,-36.5703,149.4554,908.7,08:00_05/12/1960,1960,13:30_18/06/2009,2009,50,GEORGES CREEK AT COCHRANE DAM (STORAGE)
221001_74,74,-37.1387,149.3173,0,20:02_19/10/1994,1994,10:45_13/01/2009,2009,16,GENOA RIVER @ ROCKTON
221002_77,77,-37.3704,149.7138,7.5,15:37_02/07/1992,1992,03:07_04/01/2003,2003,12,WALLAGARAUGH RIVER AT PRINCES HIGHWAY
221209_74,74,-37.3554,149.207,0,14:27_27/01/1993,1993,11:42_16/12/2008,2008,16,CANN RIVER (EAST BRANCH) @ WEERAGUA
221210_74,74,-37.4158,149.5204,0,13:35_30/10/1989,1989,07:57_17/12/2008,2008,20,GENOA RIVER @ THE GORGE
222004_77,77,-36.9954,149.0937,699.8,09:45_13/01/1993,1993,10:05_21/04/2009,2009,17,LITTLE PLAINS RIVER AT WELLESLEY (ROWES)
222008_77,77,-36.9045,149.0345,-3,08:00_01/01/1963,1963,06:00_23/04/2009,2009,47,DELEGATE RIVER AT QUIDONG
222013_77,77,-36.8396,148.9325,477.1,03:45_15/04/2000,2000,12:50_14/04/2009,2009,10,SNOWY RIVER AT BURNT HUT CROSSING
222017_77,77,-36.6535,149.1113,-2.1,15:25_05/08/1999,1999,06:00_21/04/2009,2009,11,MACLAUGHLIN RIVER AT THE HUT
222026_77,77,-36.505,148.8292,740.5,21:00_24/09/1997,1997,06:00_14/04/2009,2009,13,SNOWY RIVER AT DALGETY WEIR
222206_74,74,-37.4958,148.1732,90,17:54_11/01/1980,1980,11:45_27/01/2009,2009,30,BUCHAN RIVER @ BUCHAN
222209_74,74,-37.0836,148.4133,174,18:47_06/11/1992,1992,11:07_28/01/2009,2009,18,SNOWY RIVER @ MCKILLOP BRIDGE
222219_74,74,-37.4991,148.2736,0,08:27_04/01/1980,1980,12:00_27/01/2009,2009,30,SNOWY RIVER @ D/S OF BASIN CREEK
223208_74,74,-37.1598,147.7738,380,12:20_30/05/1989,1989,12:30_14/07/2003,2003,15,TAMBO RIVER @ BINDI (NEAR JUNCTION CREEK)
223213_74,74,-37.0039,147.8824,0,10:48_21/06/1994,1994,09:01_17/12/2008,2008,15,TAMBO RIVER @ D/S OF DUGGAN CREEK
224201c_102,102,-37.49,147.1664,183,14:24_06/10/1992,1992,13:44_15/04/2009,2009,18,WONNANGATTA RIVER @ WATERFORD
224203_74,74,-37.7684,147.3713,0,12:18_04/11/1992,1992,14:15_14/01/2009,2009,18,MITCHELL RIVER @ GLENALADALE
224206_74,74,-37.4093,147.087,0,12:28_27/11/1998,1998,11:33_28/01/2009,2009,12,WONNANGATTA RIVER @ CROOKED RIVER
224213_74,74,-37.4951,147.2687,0,08:41_30/11/1992,1992,13:58_28/01/2009,2009,18,DARGO RIVER @ LOWER DARGO ROAD
224220_74,74,-37.6779,147.5499,0,11:16_24/04/1992,1992,10:27_29/08/2007,2007,16,BOGGY CREEK @ BULLUMWAAL
225201_74,74,-37.9686,147.076,12,16:23_14/10/1993,1993,11:40_19/01/2009,2009,17,AVON RIVER @ STRATFORD
225209a_102,102,-37.6296,146.6233,0,17:58_09/10/1992,1992,12:46_09/06/2009,2009,18,MACALISTER RIVER @ LICOLA
225218_74,74,-37.814,147.0886,0,12:55_20/01/1995,1995,11:43_28/01/2009,2009,15,FREESTONE CREEK @ BRIAGALONG
225219_74,74,-37.5162,146.5665,0,16:33_03/02/1993,1993,09:40_05/01/2009,2009,17,MACALISTER RIVER @ GLENCAIRN
225221_74,74,-37.7694,146.6677,0,17:36_21/09/1992,1992,14:34_05/01/2009,2009,18,MACALISTER RIVER @ STRINGYBARK CREEK
225224_74,74,-37.8018,146.8849,0,15:39_15/09/1992,1992,06:50_02/01/2009,2009,18,AVON RIVER @ THE CHANNEL
225230_74,74,-37.9137,146.6561,160,14:38_11/09/1992,1992,09:43_05/01/2009,2009,18,GLENMAGGIE CREEK AT THE GORGE
225231_74,74,-37.9751,146.6263,0,18:06_18/11/1992,1992,06:20_02/01/2009,2009,18,THOMSON RIVER @ U/S OF COWWARR WEIR
225231a_102,102,-37.975,146.625,0,18:06_18/11/1992,1992,11:09_22/06/2009,2009,18,THOMSON RIVER @ U/S OF COWWARR WEIR
225709a_102,102,-38.1331,146.911,0,11:00_16/01/1997,1997,12:01_08/07/2009,2009,13,GIPPSLAND DRAIN NO 3 @ KILMANY SOUTH
225801_74,74,-37.85,146.5563,738,11:48_28/05/1993,1993,09:18_10/11/2008,2008,16,RAINGAUGE (MACALISTER RIVER) @ MURDERERS HIL
225802_74,74,-37.4651,146.6896,0,04:08_05/11/1994,1994,13:15_08/12/2008,2008,15,RAINGAUGE (MACALISTER RIVER) @ MOUNT TAMBORI
225809_74,74,-37.4961,146.8576,0,17:22_21/05/1997,1997,12:32_13/01/2009,2009,13,RAINGAUGE (AVON RIVER) @ MOUNT WELLINGTON
225810_74,74,-37.5421,147.0126,0,12:48_30/04/1997,1997,10:04_13/01/2009,2009,13,RAINGAUGE (AVON RIVER) @ REEVE KNOB
225811a_151,151,-37.7552,146.1611,1020,12:25_14/12/1977,1977,09:48_25/11/2008,2008,32,RAINGAUGE (THOMSON-YARRA DIVIDE) AT THO'N-YA
226023_74,74,-38.1923,146.5417,31.9,13:05_06/12/1976,1976,08:00_31/08/1995,1995,20,TRARALGON CREEK @ TRARALGON
226205_74,74,-37.8933,146,0,14:05_02/07/1996,1996,09:33_08/12/2008,2008,13,LATROBE RIVER @ NOOJEE
226205d_102,102,-37.907,146.0221,238,14:05_02/07/1996,1996,12:48_18/06/2009,2009,14,LATROBE RIVER @ NOOJEE
226209_74,74,-38.2057,146.0021,91,14:57_06/02/1996,1996,16:59_08/02/2009,2009,14,MOE RIVER @ DARNUM
226216_74,74,-38.0947,146.2423,81,14:41_06/06/1997,1997,13:16_07/01/2009,2009,13,TANJIL RIVER @ TANJIL SOUTH
226218_74,74,-38.2719,146.1865,0,16:00_08/08/1996,1996,08:00_17/02/2009,2009,14,NARRACAN CREEK @ THORPDALE
226407_74,74,-38.407,146.3054,0,09:46_09/02/1996,1996,11:09_08/10/2008,2008,13,MORWELL RIVER @ BOOLARRA
226410_74,74,-38.323,146.5315,0,01:43_18/12/1995,1995,09:00_08/01/2009,2009,15,TRARALGON CREEK @ KOORNALLA
226415_74,74,-38.2517,146.5417,0,15:10_05/08/1999,1999,13:58_20/10/2008,2008,10,TRARALGON CREEK @ TRARALGON SOUTH (SEC) MATT
226814_74,74,-38.3966,146.5624,0,16:52_04/05/1998,1998,12:41_09/01/2009,2009,12,RAINGAUGE @ MT TASSIE
226815_74,74,-38.1942,146.5316,0,16:46_30/06/1999,1999,08:32_06/01/2009,2009,11,RAINGAUGE (TRARALGON CK) @ TRARALGON - EPA Y
226817_74,74,-38.3912,146.5151,0,14:01_30/09/1999,1999,09:20_09/01/2009,2009,11,RAINGAUGE @ LE ROY QUARRY
226818_74,74,-38.4302,146.5412,0,13:08_05/08/1999,1999,11:01_08/01/2009,2009,11,RAINGAUGE @ BALOOK
226819_74,74,-38.3182,146.566,0,13:01_09/06/1999,1999,07:38_02/01/2009,2009,11,RAINGAUGE @ CALIGNEE NORTH
228203c_151,151,-38.0333,145.2205,,17:16_25/05/1995,1995,00:00_20/01/2009,2009,15,EUMEMMERING CREEK AT LYNDHURST
228207a_151,151,-37.9427,145.742,,13:07_25/09/1995,1995,00:00_20/01/2009,2009,15,BUNYIP RIVER AT HEADWORKS IN BUNYIP FOREST
228209b_151,151,-38.2415,145.6306,,12:21_31/05/1995,1995,00:00_20/01/2009,2009,15,LANG LANG RIVER AT HEAD ROAD LANG LANG
228212_151,151,-38.0207,145.7629,,00:00_03/06/1995,1995,00:00_20/01/2009,2009,15,BUNYIP RIVER AT TONIMBUK
228213_151,151,-38.1285,145.6858,,12:26_31/05/1995,1995,00:00_20/01/2009,2009,15,BUNYIP RIVER @ IONA
228228_151,151,-38.119,145.4017,,14:45_31/08/1995,1995,00:00_20/01/2009,2009,15,CARDINIA CREEK AT CHASEMORE ROAD CARDINIA
228231a_151,151,-38.0205,145.2563,,15:23_08/09/1995,1995,00:00_20/01/2009,2009,15,HALLAM VALLEY CONTOUR DRAIN AT HAMPTON PARK
228352_151,151,-37.9278,145.2301,47.6,10:30_06/03/1979,1979,10:00_28/01/1993,1993,15,ROWVILLE MAIN DRAIN AT ROWVILLE
228354_151,151,-37.8105,145.2755,98.5,10:00_02/07/1975,1975,11:03_24/03/1993,1993,19,CROYDON MAIN DRAIN AT LUSHER RD CROYDON SOUT
228357_151,151,-37.8411,145.2272,79.3,12:07_15/04/1993,1993,00:00_20/01/2009,2009,17,DANDENONG CK U/S WANTIRNA RD HEATHMONT
228362_151,151,-37.9385,145.1525,45.5,15:10_29/11/1976,1976,00:00_20/01/2009,2009,34,MILE CK PARSHALL FLUME SPRINGVALE WEST
228365_151,151,-38.0636,145.4218,33.8,06:00_14/10/1980,1980,00:00_20/01/2009,2009,30,GUMSCRUB CK AT PRINCESS HWY OFFICER
228366_151,151,-37.8657,145.2426,84,10:38_14/02/1991,1991,00:00_20/01/2009,2009,19,BLIND CK RETARDING BASIN AT KNOX
228368_151,151,-37.9367,145.2184,35.3,09:50_23/12/1977,1977,00:00_20/01/2009,2009,33,DANDENONG CK POLICE RD RETARDING BASIN\044 R
228369_151,151,-37.8258,145.331,143.8,12:00_10/12/1979,1979,00:00_20/01/2009,2009,31,BANGALOOK CK AT FUSSELL RD RETARDING BASIN A
228371_151,151,-38.0873,145.1261,,00:18_25/11/1990,1990,00:00_20/01/2009,2009,20,CREEKSIDE RECORDER\044 RIVIERA STREET\044 SE
228373_151,151,-37.8466,145.3133,152,17:43_06/10/1990,1990,00:00_20/01/2009,2009,20,DANDENONG CK AT LIVERPOOL ROAD RB AT THE BAS
228378_151,151,-38.1346,145.1496,12.8,11:18_18/12/1981,1981,00:00_20/01/2009,2009,29,SKYE RD FRANKSTON NORTH
228379_151,151,-38.0322,145.177,,22:25_25/05/1995,1995,00:00_20/01/2009,2009,15,MORDIALLOC CK PILLARS RD CROSSING DVA
228381_151,151,-38.013,145.19,,14:12_15/08/1995,1995,00:00_20/01/2009,2009,15,DANDENONG CK D/S GREENS RD KEYSBOROUGH (DVA)
228382_151,151,-38.0902,145.3819,,20:15_02/11/1990,1990,00:00_20/01/2009,2009,20,CARDINIA CK DROP STRUCTURE AT OFFICER (DVA)
228395_151,151,-38.1968,145.4767,5,00:00_01/01/1999,1999,00:00_20/01/2009,2009,11,BUNYIP RIVER AT KOOWEERUP
228603_151,151,-37.9347,145.1135,,00:00_07/10/1980,1980,00:00_20/01/2009,2009,30,CLAYTON SOUTH DRAIN RETARDING BASIN MERLYN A
229135_151,151,-37.7598,145.0776,,15:45_07/08/1998,1998,00:00_20/01/2009,2009,12,YARRA RIVER AT BANKSIA STREET
229143_151,151,-37.787,145.0258,,00:00_15/03/1984,1984,00:00_20/01/2009,2009,26,YARRA RIVER CHANDLER HIGHWAY\044 FAIRFIELD
229149_151,151,-37.7781,144.9901,26,00:00_17/05/1999,1999,00:00_20/01/2009,2009,11,MERRI CREEK AT ST GEORGES RD\044 NORTHCOTE
229200b_151,151,-37.7397,145.2121,,10:00_17/05/1977,1977,00:00_20/01/2009,2009,33,YARRA RIVER AT FORBES ST\044 WARRANDYTE
229249_151,151,-37.7823,145.3065,,02:12_01/01/1987,1987,00:00_20/01/2009,2009,23,BRUSHY CREEK AT DIANE CRES MOOROOLBARK
229270_151,151,-37.695,145.3195,,00:00_10/07/1978,1978,00:00_20/01/2009,2009,32,YARRA RIVER D/S YERING PUMPING STATION
229402_151,151,-37.7162,144.9523,,00:00_16/01/1979,1979,00:00_20/01/2009,2009,31,MERLYNSTON CREEK AT FAWKNER CEMETERY
229603_151,151,-37.6458,144.9729,,00:00_12/04/1978,1978,00:00_20/01/2009,2009,32,MERRI CREEK AT COOPER ST\044 SOMERTON
229608_151,151,-37.7017,145.2646,,00:00_15/06/1980,1980,00:00_20/01/2009,2009,30,WATSONS CK AT KANGAROO GROUND SOUTH
229612_151,151,-37.6959,145.0469,,00:00_25/10/1978,1978,00:00_20/01/2009,2009,32,DAREBIN CREEK AT SETTLEMENT ROAD\044 BUNDOOR
229613_151,151,-37.6491,145.0341,,00:00_24/05/1977,1977,00:00_20/01/2009,2009,33,DAREBIN CREEK AT RUFUS ST\044 EPPING
229614_151,151,-37.7299,145.107,19,10:00_29/05/1980,1980,00:00_20/01/2009,2009,30,PLENTY RIVER AT MAIN ROAD\044 LOWER PLENTY
229615_151,151,-37.6863,145.1023,,16:06_24/04/1990,1990,00:00_20/01/2009,2009,20,PLENTY RIVER AT GREENSBOROUGH
229616_151,151,-37.6012,145.1052,,00:00_24/12/1977,1977,00:00_20/01/2009,2009,33,PLENTY RIVER AT BRIDGE INN RD\044 MERNDA
229617_151,151,-37.5172,145.1363,,00:00_22/11/1977,1977,00:00_01/09/1998,1998,22,PLENTY RIVER @ EVELYN STREET ( WE129 )
229619_151,151,-37.6376,145.1913,65,00:00_22/01/1978,1978,00:00_20/01/2009,2009,32,DIAMOND CK AT HURSTBRIDGE
229620_151,151,-37.5816,145.2062,106,00:00_22/01/1978,1978,00:00_20/01/2009,2009,32,ARTHURS CK AT ARTHURS CK RD
229621_151,151,-37.8315,145.0036,,00:00_17/05/1977,1977,00:00_20/01/2009,2009,33,YARRA RIVER AT BURNLEY MMBW DEPOT (TIDAL)
229624_151,151,-37.8536,145.057,,00:00_23/05/1989,1989,00:00_20/01/2009,2009,21,GARDINERS CREEK AT GREAT VALLEY ROAD\044 GAR
229625_151,151,-37.8674,145.0996,,09:36_14/05/1992,1992,00:00_20/01/2009,2009,18,GARDINERS CREEK D/S HIGH ST ROAD\044 ASHWOOD
229627_151,151,-37.5736,144.9652,,00:00_24/04/1977,1977,00:00_20/01/2009,2009,33,MERRI CREEK @ SUMMERHILL RO AD\044 CRAIGIEBU
229632_151,151,-37.835,145.1681,,00:00_29/08/1977,1977,00:00_01/09/1998,1998,22,FOREST HILL MAIN DRAIN GLENVALLEY ROAD RETAR
229633_151,151,-37.8339,145.1591,,00:06_01/09/1977,1977,01:36_15/11/1997,1997,21,FOREST HILL DRAIN MASONS ROAD RETARDING BASI
229634_151,151,-37.8384,145.1556,,00:00_15/03/1977,1977,00:00_01/09/1998,1998,22,BLACKBURN SOUTH DRAIN CORNWALL ST RETARDING
229636_151,151,-37.8155,145.1452,,00:00_04/05/1977,1977,00:00_20/01/2009,2009,33,GARDINERS CK (BLACKBURN NORTH DRAIN)AT KINKO
229637_151,151,-37.8287,145.1334,,00:00_07/04/1977,1977,10:42_06/05/1992,1992,16,GARDINERS CREEK AT MIDDLEBOROUGH RD RET BASI
229638_151,151,-37.8464,145.1384,95,00:06_01/10/1977,1977,00:00_20/01/2009,2009,33,ELEY RD EAST DRAIN AT ELEY ROAD RETARDING BA
229640_151,151,-37.8922,145.1072,,00:00_28/04/1977,1977,09:06_05/10/1991,1991,15,SCOTCHMANS CREEK AT HUNTINGDALE RD R.B.
229643_151,151,-37.7814,144.9386,,00:00_26/02/1991,1991,00:00_20/01/2009,2009,19,MOONEE PONDS CREEK U/S MT ALEXANDER RD\044 F
229645_151,151,-37.7423,144.979,45,00:00_08/01/1979,1979,00:00_20/01/2009,2009,31,MERRI CREEK AT BELL ST\044 COBURG
229653_151,151,-37.396,145.4831,70,02:18_01/01/1987,1987,00:00_20/01/2009,2009,23,YARRA RIVER AT YARRA GRANGE
229660_151,151,-37.8928,145.002,5,20:18_06/03/1990,1990,00:00_20/01/2009,2009,20,ELSTERNWICK MAIN DRAIN AT HEAD STREET ELSTER
229663a_151,151,-37.8231,144.9567,,00:00_28/10/1979,1979,00:00_25/11/2000,2000,22,HANNA ST MAIN  DRAIN WHITEMAN ST PUMP STATIO
229665_151,151,-37.6982,144.9034,75,09:58_01/06/1993,1993,00:00_20/01/2009,2009,17,MOONEE PONDS CREEK AT JACANA RETARDING BASIN
229670_151,151,-37.872,144.9747,,10:00_19/05/1977,1977,00:00_20/01/2009,2009,33,ST KILDA MARINA (TIDAL)
229672_151,151,-37.7603,145.3529,,10:00_06/03/1990,1990,00:00_20/01/2009,2009,20,OLINDA CREEK AT LILYDALE LAKE
229690_151,151,-37.7958,145.3759,,00:00_08/09/1987,1987,00:00_20/01/2009,2009,23,OLINDA CK AT MOUNT EVELYN
229803_74,74,-37.592,145.6343,587,08:51_15/06/1990,1990,02:04_19/06/2003,2003,14,RAINGAUGE (BLACK SPUR) SITE 10E NTH MAROONDA
229804_74,74,-37.6277,145.8021,0,00:00_01/05/1987,1987,15:34_15/07/2004,2004,18,RAINGAUGE POLEY TOWER @ FIRE TOWER
229808_74,74,-37.8216,145.6485,0,00:00_01/05/1987,1987,15:24_01/04/2003,2003,17,RAINGAUGE (GLADYSDALE) OFF YARR JUNCTION-NOO
229809_74,74,-37.6723,145.2895,0,00:00_01/07/1989,1989,16:21_27/06/2003,2003,15,RAINGAUGE (SUGARLOAF RES.) @ WEST SIDE MAIN
230100_151,151,-37.4101,144.9024,,00:00_01/08/1976,1976,00:00_20/01/2009,2009,34,DEEP CREEK AT DARRAWEIT GUIM
230101_151,151,-37.4991,144.7635,,00:00_01/08/1976,1976,00:00_20/01/2009,2009,34,EMU CK AT CLARKFIELD
230103_151,151,-37.4737,144.5688,,00:00_09/04/1978,1978,00:00_20/01/2009,2009,32,JACKSONS CK AT ROSSLYNN RESERVOIR (HEAD GAUG
230104_151,151,-37.5833,144.7423,,00:00_01/08/1976,1976,00:00_20/01/2009,2009,34,JACKSON CK AT SUNBURY RD SUNBURY
230105_151,151,-37.7271,144.8361,,10:00_29/03/1979,1979,00:00_20/01/2009,2009,31,MARIBYRNONG RIVER AT KEILOR
230106_151,151,-37.7652,144.8957,,00:00_27/09/1979,1979,00:00_20/01/2009,2009,31,MARIBYRNONG RIVER CHIFLEY DRVE\044 MARIBYRNO
230107_151,151,-37.5284,144.8557,,00:00_11/10/1979,1979,00:00_20/01/2009,2009,31,DEEP CREEK AT KONAGADERRA
230108_151,151,-37.2543,144.6868,,00:00_30/08/1977,1977,09:00_20/02/2002,2002,26,DEEP CREEK AT KILMORE RD\044 LANCEFIELD
230109_151,151,-37.7792,144.8561,,00:06_01/05/1982,1982,00:00_01/09/1998,1998,17,VINE STREET MAIN DRAIN FLUME (H FLUME)
230112a_151,151,-37.8241,144.88,,00:00_15/05/1999,1999,00:00_20/01/2009,2009,11,STONY CREEK AT SPOTSWOOD
231104_151,151,-37.7651,144.7661,,00:00_20/05/1980,1980,00:00_20/01/2009,2009,30,KOROROIT CREEK MILLBANK DR\044 DEER PARK
231106_151,151,-37.6395,144.6563,,00:00_20/10/1980,1980,00:00_20/01/2009,2009,30,KOROROIT CK AT HOLDEN RD DIGGERS REST
231107_151,151,-37.8195,144.8256,,00:06_01/09/1980,1980,00:00_20/01/2009,2009,30,KOROROIT CK AT BROOKLYN
231110_151,151,-37.8515,144.7127,,00:00_26/01/1981,1981,00:00_20/01/2009,2009,29,SKELETON CREEK AT SAYERS RD\044 HOPPERS CROS
231234_74,74,-37.7233,144.4151,0,14:00_03/08/1994,1994,09:00_24/07/2008,2008,15,PARWAN CREEK @ PARWAN
231234a_151,151,-37.7249,144.4138,,14:00_03/08/1994,1994,00:00_20/01/2009,2009,16,PARWAN CREEK AT PARWAN (587051)
232204b_102,102,-37.7639,144.1067,0,08:40_11/01/2001,2001,15:00_17/06/2009,2009,9,MOORABOOL RIVER @ MORRISONS
232210_74,74,-37.6432,144.0422,488,14:03_12/08/1994,1994,12:00_09/02/2009,2009,16,MOORABOOL RIVER WEST BRANCH @ LAL LAL
232223a_32,32,-37.5077,144.0122,0,14:09_16/08/1995,1995,12:15_18/12/2007,2007,15,FRAWLEY CREEK @ U/S WILSON RESERVOIR
232800_74,74,-37.823,144.2078,0,16:00_23/06/2000,2000,08:45_17/11/2008,2008,9,RAINGAUGE (STONY CK) @ UPPER STONEY CK RESER
233200b_102,102,-38.1434,144.1871,0,11:40_08/05/2000,2000,10:45_01/03/2009,2009,10,BARWON RIVER @ POLLOCKSFORD
